Compound,TyreAge,LightGBM_s,XGBoost_s,CatBoost_s,LightGBM_Degradation_s,XGBoost_Degradation_s,CatBoost_Degradation_s,Ensemble_s,Ensemble_Degradation_s
MEDIUM,5,87.91784893898839,91.30677032470703,86.69669655425447,2.4173741795100483,2.7974090576171875,0.24931000242276014,88.6203469457968,1.7864930075203347
MEDIUM,6,89.15801340070544,92.07353210449219,86.94262038932878,3.657538641227106,3.5641708374023438,0.49523383749706795,89.35539738786036,2.521543449583902
MEDIUM,7,89.180551213441,91.95958709716797,87.0095047227966,3.68007645396267,3.450225830078125,0.5621181709648937,89.34795463883134,2.514100700554877
MEDIUM,8,89.03137009513885,91.91069793701172,87.15410052481997,3.5308953356605173,3.401336669921875,0.7067139729882541,89.33483341888753,2.500979480611065
MEDIUM,9,89.25782240205008,92.01019287109375,87.33236782248828,3.7573476425717445,3.5008316040039062,0.8849812706565672,89.50214913137157,2.668295193095105
MEDIUM,10,89.49095707277523,91.90776824951172,87.3861700105629,3.9904823132968943,3.398406982421875,0.9387834587311943,89.5608208797926,2.726966941516139
MEDIUM,11,89.49095707277523,91.90408325195312,87.54315651146793,3.9904823132968943,3.3947219848632812,1.0957699596362147,89.61444298896411,2.7805890506876523
MEDIUM,12,89.47842431115055,91.9363784790039,87.54057062412727,3.9779495516722108,3.4270172119140625,1.093184072295557,89.62032189344728,2.7864679551708207
MEDIUM,13,89.48751834190573,91.9363784790039,87.55525332717278,3.9870435824273898,3.4270172119140625,1.1078667753410656,89.6283385116535,2.7944845733770336
MEDIUM,14,89.4994313853456,91.93392181396484,87.54326410418743,3.9989566258672653,3.424560546875,1.0958775523557165,89.62711241668745,2.7932584784109906
MEDIUM,15,89.58812491599942,91.91991424560547,87.53794047461516,4.087650156521079,3.410552978515625,1.0905539227834424,89.64873792212865,2.8148839838521837
MEDIUM,16,89.59148561723866,92.03063201904297,87.52902075987295,4.091010857760324,3.521270751953125,1.0816342080412369,89.68357839442692,2.8497244561504544
