compound,tyre_age,lgb_deg,xgb_deg,cat_deg,ens_deg
SOFT,5,2.0430709404313205,2.0998001098632812,4.2115592863501945,2.8196263550735523
SOFT,10,1.670590715736111,0.78472900390625,2.09226192033438,1.522757968521148
SOFT,15,-1.2623812726279482,-2.184295654296875,0.21504229213390147,-1.053354418243842
SOFT,20,-1.848080120014913,-3.3138656616210938,0.6310376607119963,-1.4702819517084436
SOFT,30,-0.8842725687430715,-2.7128753662109375,0.4965092477827113,-1.0111124416289243
SOFT,40,-0.8842725687430715,-2.922637939453125,0.4976598717179854,-1.0806015156477997
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.6147406922351308,1.1466217041015625,-0.6955246208880368,0.3341619114259373
SOFT,10,1.7241128329127235,1.2956390380859375,1.0773452847507343,1.3553732496605164
SOFT,15,1.9149335089441166,1.8637542724609375,1.2291808034744207,1.6582841175086571
SOFT,20,1.9411435060819429,1.9385833740234375,1.064039654045331,1.633836912912301
SOFT,30,2.060705779080209,1.9469070434570312,1.8889483935943332,1.962778258375323
SOFT,40,2.060705779080209,1.8085784912109375,1.8889965466979817,1.9167051934278163
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-0.6460313995337685,-1.599090576171875,-0.2233808059250748,-0.8159115754455684
SOFT,10,0.40691799539835927,0.4714813232421875,4.813750342043505,1.9681444731978956
SOFT,15,0.27494025036544656,1.6626205444335938,4.905083241813159,2.3550410558762422
SOFT,20,1.0941093337130923,2.0701904296875,5.643156281520987,3.0087344543615018
SOFT,30,2.1967797068069785,2.9539871215820312,5.727292207146817,3.6826096108800357
SOFT,40,2.1967797068069785,2.7919464111328125,5.728442831082106,3.629021052964845
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.410600912294413,1.8849411010742188,-0.13527289427148048,1.0285301621364908
SOFT,10,2.456184360579172,2.8793792724609375,0.43732581201663834,1.8918150820423278
SOFT,15,2.485216438318446,2.0210647583007812,0.5976398732163375,1.6710598236339678
SOFT,20,2.4294472997847407,1.7826385498046875,0.8124216906099946,1.648959410151349
SOFT,30,3.5300918205644933,2.6368331909179688,0.9520951319737065,2.3317327748870866
SOFT,40,3.5300918205644933,2.430084228515625,0.9529941639354433,2.263159905829397
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.8958418814554818,1.4938201904296875,-2.134841983445824,0.3536006553068063
SOFT,10,0.8572748512215895,2.282135009765625,-2.252757150933391,0.24540394715303648
SOFT,15,0.17033991303779317,1.9486312866210938,-2.0030641453720506,0.0034801190070368193
SOFT,20,0.09124643831117396,1.8839035034179688,-2.8618311474117917,-0.3432389767157389
SOFT,30,-0.01876155514560196,2.0615005493164062,-2.215521543376042,-0.09316767563478834
SOFT,40,-0.01876155514560196,2.0574493408203125,-2.2154733902723933,-0.09450067928337091
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.477394059897648,-0.14435577392578125,0.6776838069033886,0.6576280704304622
SOFT,10,1.9678109862593942,-0.0559539794921875,3.3266551070430808,1.7682798816688887
SOFT,15,2.194430049547009,-0.38736724853515625,3.698073434513418,1.8595591382226218
SOFT,20,2.143843460352201,-0.30767059326171875,4.131717642506814,2.021568458902621
SOFT,30,2.238376506681462,0.417877197265625,4.15877077387114,2.3027732337698694
SOFT,40,2.238376506681462,0.15338897705078125,4.158818926974789,2.2146648475929
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.24976321562192538,1.078948974609375,0.8211647287688351,0.7256842610383814
SOFT,10,1.5509792292983207,2.531707763671875,3.39579224471332,2.522313562074217
SOFT,15,1.1876888066651787,2.72589111328125,3.8224304037714916,2.620763813784478
SOFT,20,1.3568647903879167,2.7716445922851562,3.9529626678003495,2.735314646656178
SOFT,30,2.387158002856907,3.7975540161132812,4.410152502569659,3.5639091496947373
SOFT,40,2.387158002856907,3.5631790161132812,4.411051534531396,3.4861315214345865
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,3.5725802211261595,5.4321746826171875,0.21684837057964046,3.019713360448904
SOFT,10,5.744800579207933,5.33184814453125,2.6745669231496407,4.534491500708299
SOFT,15,5.904708575040459,5.451347351074219,2.9761709683288444,4.730443182382729
SOFT,20,6.99002268097756,6.135383605957031,2.671641735533882,5.196453991989287
SOFT,30,7.9081320362219145,8.298301696777344,2.662606384287585,6.205385477879545
SOFT,40,7.9081320362219145,8.247940063476562,2.6624310667144044,6.18854415818403
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.0776565224986427,-0.1898193359375,0.08466595683529476,0.30840088106069175
SOFT,10,2.7691646419750526,0.5164718627929688,2.5702430972716996,1.9490849827531491
SOFT,15,2.600784079422894,1.1860809326171875,3.288291922023234,2.369627243043709
SOFT,20,2.5860083578733963,0.970458984375,3.5090813737685664,2.3702360023433755
SOFT,30,2.3684209605655155,1.2586212158203125,3.5719280148340715,2.419141623874964
SOFT,40,2.3684209605655155,1.1375350952148438,3.571600111604212,2.378682198232923
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.7409893238953629,1.7496795654296875,0.2225484610360553,1.2133528650765584
SOFT,10,3.783306762058359,3.462371826171875,1.8097257685314645,2.9868194310777625
SOFT,15,4.153598744484057,4.643440246582031,2.25980999833601,3.6551340003314436
SOFT,20,4.467613041745395,4.5833740234375,2.519414690049288,3.8254975584087134
SOFT,30,4.991175937009643,5.826042175292969,3.5798782985226154,4.776249294610864
SOFT,40,4.991175937009643,5.631324768066406,3.579702980949449,4.7113098669700975
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,2.4828831606805437,2.6109619140625,0.877898371446932,1.9647881259969893
SOFT,10,3.9606529263874677,3.0384063720703125,2.558384656874196,3.163426139852632
SOFT,15,4.474792681381388,3.6821823120117188,2.7794065998277517,3.618346372742792
SOFT,20,4.618426798096351,3.8161392211914062,3.368406510146002,3.9143636310888184
SOFT,30,4.89088105648473,4.061439514160156,3.7818060675046183,4.227015662537028
SOFT,40,4.89088105648473,3.8855514526367188,3.783108926811636,4.168866475709905
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-0.5691133869032257,-0.09423828125,-1.197082607001704,-0.6302968543230207
SOFT,10,-1.0598249900394023,-4.009223937988281,1.4382847026979846,-1.1697184733502866
SOFT,15,-1.7954049546593325,-4.840293884277344,1.30866857581114,-1.7253956127610053
SOFT,20,-1.5956773231219898,-4.742218017578125,1.1442733358470605,-1.6867593090074422
SOFT,30,-1.3492873759341535,-4.332183837890625,1.5364018486742452,-1.3349245309494506
SOFT,40,-1.3492873759341535,-4.60894775390625,1.5413112669388198,-1.4254245838829576
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,5.797570646085475,-0.1099395751953125,3.0023459649803073,2.852608051379775
SOFT,10,7.513009016766702,6.488960266113281,2.3051138738422168,5.352204812569099
SOFT,15,7.387949527931198,6.0359649658203125,2.2496382603302862,5.142192008863361
SOFT,20,7.448645251930799,6.221412658691406,2.25158531309269,5.223927670903578
SOFT,30,8.384438371451822,7.07220458984375,1.8707223550937044,5.671369256369957
SOFT,40,8.384438371451822,6.8381500244140625,1.8718729790289927,5.593786298534283
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-0.3938156749668593,-0.7312088012695312,0.7731230004976197,-0.09851245975535505
SOFT,10,1.0117563708476496,0.40470123291015625,2.2853417848883737,1.2544720918374423
SOFT,15,0.9770690653213592,1.025054931640625,2.54771746481849,1.541830444033181
SOFT,20,1.5246484799707218,1.348846435546875,2.460465344801989,1.7930402141215467
SOFT,30,1.54472251682445,1.4947967529296875,2.6660011663001484,1.919854121638437
SOFT,40,1.54472251682445,1.356597900390625,2.6671517902354367,1.8742094666527436
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,-6.5299154438570355,-3.153900146484375,1.9068719941247139,-2.457305108776737
SOFT,10,-8.066771104472835,-4.173576354980469,-4.774116807812106,-5.619162961576251
SOFT,15,-10.157564091200015,-5.3355560302734375,-6.243619917847326,-7.183409231265443
SOFT,20,-10.19642903431226,-5.3676605224609375,-6.522239233736116,-7.3037900492351895
SOFT,30,-9.998212469329943,-5.062095642089844,-6.4541812468323485,-7.115282386242697
SOFT,40,-9.998212469329943,-5.2047119140625,-6.45303062289706,-7.162398887563171
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,2.693612602156648,1.51226806640625,1.3791109480074084,1.8407215908297871
SOFT,10,3.9698479096876866,1.9111175537109375,2.9032160324999694,2.9112233161938974
SOFT,15,3.8432212691985512,1.9603118896484375,3.079926252715339,2.9491623685473343
SOFT,20,3.8275090119761757,1.9797134399414062,3.0311907556514086,2.933611656339181
SOFT,30,3.749731463425377,2.671356201171875,3.318767724643422,3.239850525521774
SOFT,40,3.749731463425377,2.5039825439453125,3.3199183485787103,3.1844850753993086
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.5868486665535357,0.7606658935546875,-0.37418912159813544,0.30898360472465924
SOFT,10,2.4749009857506223,0.9723968505859375,1.4960264111329309,1.6322679572933083
SOFT,15,2.1197759743892846,1.499481201171875,1.5198414685186066,1.7034864009902293
SOFT,20,2.0258417709969194,1.7388992309570312,1.4010720259294942,1.711945059305549
SOFT,30,2.0130040408225796,1.9758758544921875,2.436636937463419,2.1486474383727057
SOFT,40,2.0130040408225796,1.8662338256835938,2.4366850905670674,2.1121324774299524
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.6567191198545146,0.629913330078125,0.738246976958564,0.6762728886592981
SOFT,10,2.728909798561361,3.244781494140625,3.5351735959759196,3.182496420334431
SOFT,15,2.981981417467992,3.9501266479492188,4.015054780135614,3.665507288360203
SOFT,20,3.0035869860266757,3.9055023193359375,4.006001733774653,3.6543337296085525
SOFT,30,3.4025478808600838,3.7601470947265625,4.203566690402582,3.801566906951109
SOFT,40,3.4025478808600838,3.3394927978515625,4.20361484350623,3.6614253210737076
