compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,lightgbm_deg_s,xgboost_deg_s,catboost_deg_s,ensemble_deg_s
SOFT,22,79.29765166960621,88.10579681396484,81.15368450695757,82.88093432360478,3.1109299020162666,3.1124954223632812,2.3241802789005703,2.8365670381957386
SOFT,23,79.28583107977103,88.21467590332031,81.1571689724502,82.91467730627546,3.099109312181085,3.22137451171875,2.3276647443931893,2.8703100208664267
SOFT,24,79.23864232947244,88.20028686523438,81.17744942774475,82.90199037917816,3.051920561882497,3.2069854736328125,2.347945199687743,2.8576230937691207
SOFT,25,79.33778139213365,88.19182586669922,81.1791557981269,82.93123576280952,3.1510596245437057,3.1985244750976562,2.349651570069895,2.8868684774004834
SOFT,26,79.73360302525002,88.45633697509766,81.20604623799586,83.15440403133132,3.5468812576600754,3.4630355834960938,2.3765420099388592,3.1100367459222866
SOFT,27,79.73360302525002,88.45633697509766,81.19427078726154,83.15028977620119,3.5468812576600754,3.4630355834960938,2.36476655920454,3.105922490792153
SOFT,28,79.82732124932113,88.45633697509766,81.18022732174599,83.17513075548747,3.6405994817311864,3.4630355834960938,2.350723093688984,3.130763470078435
SOFT,29,79.82732124932113,88.45633697509766,81.17834637158323,83.17447356545448,3.6405994817311864,3.4630355834960938,2.3488421435262268,3.130106280045439
SOFT,30,79.82732124932113,88.45633697509766,81.17834637158323,83.17447356545448,3.6405994817311864,3.4630355834960938,2.3488421435262268,3.130106280045439
SOFT,31,79.82732124932113,88.45633697509766,81.17834637158323,83.17447356545448,3.6405994817311864,3.4630355834960938,2.3488421435262268,3.130106280045439
SOFT,32,79.82732124932113,88.42414855957031,81.17834637158323,83.16374866098744,3.6405994817311864,3.43084716796875,2.3488421435262268,3.1193813755783992
SOFT,33,79.82732124932113,88.37214660644531,81.17834637158323,83.14642205542985,3.6405994817311864,3.37884521484375,2.3488421435262268,3.102054770020814
SOFT,34,79.82732124932113,88.39093017578125,81.17834637158323,83.15268057991382,3.6405994817311864,3.3976287841796875,2.3488421435262268,3.108313294504782
SOFT,35,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
SOFT,36,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
SOFT,37,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
SOFT,38,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
SOFT,39,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
SOFT,40,79.82732124932113,88.2889633178711,81.17949699551852,83.11910811533203,3.6405994817311864,3.2956619262695312,2.349992767461515,3.0747408299229875
MEDIUM,1,85.42057426994839,88.4102554321289,83.84032829887495,85.86458421731467,0.0,0.0,0.0,0.0
MEDIUM,2,85.42057426994839,88.4102554321289,83.84032829887495,85.86458421731467,0.0,0.0,0.0,0.0
MEDIUM,3,92.91531573740498,94.87496948242188,85.27558798170655,90.89899138498453,7.494741467456592,6.464714050292969,1.4352596828315995,5.034407167669855
MEDIUM,4,90.76171525033115,92.96018981933594,84.91728346519123,89.45222704542712,5.341140980382761,4.549934387207031,1.0769551663162815,3.5876428281124504
MEDIUM,5,89.11980548274938,91.80326080322266,84.83290478352154,88.51609851882645,3.6992312128009956,3.39300537109375,0.992576484646591,2.6515143015117815
MEDIUM,6,89.62355927342998,92.86742401123047,85.52523148593055,89.27246190574428,4.2029850034815865,4.4571685791015625,1.6849031870555962,3.4078776884296076
MEDIUM,7,89.71219394882142,93.06788635253906,85.76123118507913,89.44984484805748,4.291619678873033,4.657630920410156,1.9209028862041748,3.585260630742809
MEDIUM,8,89.58403230415871,92.55852508544922,86.667453807663,89.55607694228101,4.163458034210322,4.1482696533203125,2.8271255087880434,3.691492724966338
MEDIUM,9,89.65690735859519,92.57341766357422,87.28259828467672,89.79909764544792,4.236333088646802,4.1631622314453125,3.4422699858017722,3.9345134281332435
MEDIUM,10,89.92128530958173,92.33006286621094,87.47266752553273,89.86834047966686,4.5007110396333445,3.9198074340820312,3.632339226657777,4.003756262352184
MEDIUM,11,89.90237265137671,92.38456726074219,87.70959287398497,89.96327765644682,4.4817983814283195,3.9743118286132812,3.869264575110023,4.098693439132148
